index,Unnamed: 0,today,expiration,strike,optionType,spot,riskFreeRate,optionPremiumPrice,impliedVolatility,timeToExpiry
0,1,2023-07-10 09:31:00,2023-07-14,80.0,C,132.04,0.05,52.08891602,,0.00821917808219178
1,2,2023-07-10 09:31:00,2023-07-14,80.0,P,132.04,0.05,0.001823991,,0.00821917808219178
2,3,2023-07-10 09:31:00,2023-07-14,85.0,C,132.04,0.05,47.0842064,,0.00821917808219178
3,4,2023-07-10 09:31:00,2023-07-14,85.0,P,132.04,0.05,0.001869603,,0.00821917808219178
4,5,2023-07-10 09:31:00,2023-07-14,90.0,C,132.04,0.05,42.08031876,,0.00821917808219178
5,6,2023-07-10 09:31:00,2023-07-14,90.0,P,132.04,0.05,0.001920117,,0.00821917808219178
6,7,2023-07-10 09:31:00,2023-07-14,95.0,C,132.04,0.05,37.08188416,,0.00821917808219178
7,8,2023-07-10 09:31:00,2023-07-14,95.0,P,132.04,0.05,0.001978305,,0.00821917808219178
8,9,2023-07-10 09:31:00,2023-07-14,100.0,C,132.04,0.05,0.0,,0.00821917808219178
9,10,2023-07-10 09:31:00,2023-07-14,100.0,P,132.04,0.05,0.002047443,,0.00821917808219178
10,11,2023-07-10 09:31:00,2023-07-14,105.0,C,132.04,0.05,27.09731827,,0.00821917808219178
11,12,2023-07-10 09:31:00,2023-07-14,105.0,P,132.04,0.05,0.002123515,,0.00821917808219178
12,13,2023-07-10 09:31:00,2023-07-14,110.0,C,132.04,0.05,22.09910526,,0.00821917808219178
13,14,2023-07-10 09:31:00,2023-07-14,110.0,P,132.04,0.05,0.002216587,,0.00821917808219178
14,15,2023-07-10 09:31:00,2023-07-14,115.0,C,132.04,0.05,17.09802667,,0.00821917808219178
15,16,2023-07-10 09:31:00,2023-07-14,115.0,P,132.04,0.05,0.003412871,,0.00821917808219178
16,17,2023-07-10 09:31:00,2023-07-14,116.0,C,132.04,0.05,16.11871925,,0.00821917808219178
17,18,2023-07-10 09:31:00,2023-07-14,116.0,P,132.04,0.05,0.003447479,,0.00821917808219178
18,19,2023-07-10 09:31:00,2023-07-14,117.0,C,132.04,0.05,0.0,,0.00821917808219178
19,20,2023-07-10 09:31:00,2023-07-14,117.0,P,132.04,0.05,0.00348409,,0.00821917808219178
20,21,2023-07-10 09:31:00,2023-07-14,118.0,C,132.04,0.05,14.10212139,,0.00821917808219178
21,22,2023-07-10 09:31:00,2023-07-14,118.0,P,132.04,0.05,0.003524218,,0.00821917808219178
22,23,2023-07-10 09:31:00,2023-07-14,119.0,C,132.04,0.05,0.0,,0.00821917808219178
23,24,2023-07-10 09:31:00,2023-07-14,119.0,P,132.04,0.05,0.003569944,,0.00821917808219178
24,25,2023-07-10 09:31:00,2023-07-14,120.0,C,132.04,0.05,0.0,,0.00821917808219178
25,26,2023-07-10 09:31:00,2023-07-14,120.0,P,132.04,0.05,0.003614463,,0.00821917808219178
26,27,2023-07-10 09:31:00,2023-07-14,121.0,C,132.04,0.05,0.0,,0.00821917808219178
27,28,2023-07-10 09:31:00,2023-07-14,121.0,P,132.04,0.05,0.004916777,,0.00821917808219178
28,29,2023-07-10 09:31:00,2023-07-14,122.0,C,132.04,0.05,0.0,,0.00821917808219178
29,30,2023-07-10 09:31:00,2023-07-14,122.0,P,132.04,0.05,0.006354881,,0.00821917808219178
30,31,2023-07-10 09:31:00,2023-07-14,123.0,C,132.04,0.05,0.0,,0.00821917808219178
31,32,2023-07-10 09:31:00,2023-07-14,123.0,P,132.04,0.05,0.006447279,,0.00821917808219178
32,33,2023-07-10 09:31:00,2023-07-14,124.0,C,132.04,0.05,8.123900418,,0.00821917808219178
